序号,主题,标题,关键词,内容,标签
1,生活方式,好养疯长花草大盘点，不用悉心照料，咋养都爆盆，养花杀手必备！,爆盆;绿萝;铜钱草;薄荷;豆瓣绿;仙人球;水培;吊兰;卷柏,"手残党，懒人群，养花杀手们，是不是还在纠结养什么花，今天丫头就给大家系统的说一下，哪些花你可以养！一、仙人球这个必须可以，很耐旱，十天半个月不浇水也是可以，比较适合比较懒，或者是比较忙的人，经常出差，摆在家里不会出现任何问题。
            二、绿萝下心的粉丝都会知道，只要是给大家推荐植物的时候，一定会出现绿萝的名字。因为丫头真的是很偏爱，水培的一般半个月都不用换水，长势也很好。盆栽的可以选择懒人花盆，就是自带储水功能的，超级省心！
            三、卷柏卷柏的外形不是谁都喜欢的，但它的生命力是很顽强的，有个别称叫做九死还魂草，只要叶子还是绿的就一定死不了！要是忘记了好几个月浇水，叶子皱巴巴的，用浸盆的方式土壤喝饱水，叶子抛开一样能活！
            四、铜钱草撒上叶子，一定能野蛮生长。之前丫头逛街的时候，就看到商业街里卖弄商家就在门口摆放了很多的石头花盆，里面就种了很多铜钱草，野蛮生长，刮风下雨都不怕！这要是种在家里，只要保证有水就可以长得很好！
            五、薄荷说到野蛮生长的怎么能少了薄荷呢？放在有阳光的地方，天气暖和的时候，每天浇水就可以。等到薄荷长大之后，可以剪些枝条，直接水培。还记得小时候院子里的薄荷么？
            六、吊兰吊兰的好养程度，应该是可以与绿萝相提并论的，飘逸的叶片，在湿度适宜的情况，很快就会长出小崽子，光照不是很充足的地方，也是可以养得很好的。
            七、豆瓣绿还依稀记得几年前，丫头刚工作的时候，害怕电脑辐射太严重，就去网上搜索，什么植物可以抗辐射，第一位就是豆瓣绿，也就是电脑宝贝，叶片绿油油的，叶片是硬质，懒人完全可以在家养！
            ",T
2,健康,为什么减肥不能只看体重？因为人体70％都是水，减掉脂肪得这样做,减肥;饮食,"很多小伙伴认为减肥期间，只要把体重减下来，那么自己就是减肥成功了，但真的是这么简单吗？为什么很多人盯着体重秤减肥，却总也是减不下来？首先，我们人体体重的70%都是水构成的，而水分的波动也最容易引起体重的忽高忽低。如果你是在同一天称好几次体重，发现数据都不一样，那么这种变化几乎可以说就是由水的波动带来的，因为脂肪和肌肉并不会在短时间内变化那么大。说到减肥的目的主要是为了减去脂肪，而并不是水分，也不是肌肉，所以减肥并不能只看体重的变化来做定夺。我们之前经常提到，如果你想快速减轻体重，那么去蒸桑拿是最有效的办法。因为它可以让你体内的水分大量流失掉，这样你的体重也就能够下来了。但这种迫使身体脱水的方法，对你的身体健康却是有害而无利的。如果只关注体重减肥，那么你将把重心放到那些对减肥帮助不大的事情上面。比如很多人觉得只要体重低了自己就开心，那么假如体重有一天没有降低，那么他就会想尽办法，用不吃不喝来达到自己目标中的那个数字来取悦自己，减肥最后成为了一种作秀。
            因为减肥，就要让身体持续处于热量赤字状态，这个道理很多人都懂，但是他们懒得去计算，索性就直接砍掉某一顿饭，用最常见的节食以及断食的方法去减肥。很多人都在说晚饭不吃能减肥，所以他们也都来采取不吃晚饭的方法，来让自己达到减肥的效果。这种方法虽然也有效，但是他们忘了一件事情，就是减肥并不是达到目标就可以，你还需要花更多的时间去维持。也就是说，当你的身体因为热量的降低而减少很多体重，那么当你恢复正常饮食的时候，那么身体的热量也就充裕了，之前减掉的那部分的体重也会慢慢的长回来。简单一句话就是，减肥的时候你不吃晚饭，但是减肥成功之后你还能坚持不吃晚饭吗？如果你说自己可以，那么这种方法你就去尝试，如果不行，那么就不要用这样的方法去进行。
            那么怎样的减肥方法能够帮助我们持续地减少脂肪？我们建议先从合理地规划你的饮食开始着手。剔除那些不健康的食物，而把那些健康的食物沉淀下来，这样一个小小的做法就能够让自己每天的热量摄入减少非常多。比如你可以去除掉经常爱吃的零食或减少它们的摄入量，少吃一些高热量，高脂肪精加工的食品。把果汁换成矿泉水，加糖加奶的咖啡换成黑咖啡，这些小小的举措都能够为你减去非常多的热量，也不会让你处于饥饿状态。因为总处于饥饿状态时，那种饮食你并不能够长久地去坚持。而且也会给精神带来一些不必要的压力，长此以往也会导致身体内皮质醇激素分泌过量，这会影响你的瘦素分泌，继而降低你的减脂效率。同时在饮食上要适当地调高蛋白质的摄入量，同时减少平常精致碳水以及脂肪摄入。因为很多人都明白，蛋白质的饱腹感更强，同时卡路里比脂肪要低很多。加强蛋白质的摄入也能够减少你在减肥期间身体的肌肉流失。这样能够有效避免你在减肥成功之后，出现身材垮掉的情况。
            运动是不是必须的？减肥的关键在于热量缺口，所以运动并不是一定要有的。为什么很多人还要提倡去做运动呢？因为运动是能够帮助你拉大热量缺口的一种方式，同时它还能够让你的身材变得更好。因为只控制饮食虽然能够起到减肥的效果，但却无法还你一个好的体态。那些身材健美，曲线优雅的体型都是靠运动练出来的。采取运动和控制饮食的双重出击，也能够给你的饮食减少不小的压力。这样你当你在运动上消耗300大卡的时候，你的饮食就增加300大卡的摄入，就可以为自己当天争取到更多的食物。同时，这也可以为自己提升一些幸福感，便于减肥计划的长久坚持。
            好了，这一期的分享就是这样了，如果你有想要了解的方法，可以在文末给我留言或者直接私信我。我是波普董，只说你能看懂的健身知识。",F
3,生活方式,如何安排自己的一周训练？这套方案请收藏好,哑铃;杠铃;肘关节;肩部,"宅了这么久，为了甩掉身上多余的脂肪，活动活动僵硬的四肢，你肯定早已下定决心要开始健身了。但是到了健身房，你是不是又为具体该怎么练才能达到满意的效果而感到困扰呢？没事的，现在推荐你一套高效力量训练计划，一周四练，满足你的各种需要，帮你省掉私教钱！
            高效的全身力量训练计划，不仅可以增大肌肉体积和增强肌肉力量与爆发力，还可以帮助你合理规划时间，绝不让你盲目训练。而且一周四练的全身力量训练，遵循着重负荷低重复率的标准，可以锻炼快缩肌纤维，每个部位都能照顾到。
            因为减脂、塑形、增肌的运动强度各有不同，大家可以按自己的需求，选择训练组数，以达到想要的效果！
            第一天  胸部训练一、仰卧推举：1．仰卧在平凳上，双目恰好位于杠铃杆下方。2．双脚平放于地面，双手抓握的距离比肩部稍宽，掌心朝前。3．收腹，肩部放松后压。4．将杠铃从架子上取下并直接放在胸部上方。5．吸气，然后将杠铃慢慢放下，直至肘部弯曲呈 90 度角。6．呼气，然后慢慢推举杠铃直至肘部伸直，但不是僵住不动。
            二、哑铃平板推胸：1．仰卧在平凳上，双手各握一只哑铃，同时双脚平放于地面。2．将两只哑铃置于胸部两侧，掌心朝前，同时肘部弯曲呈 90 度角。3．收腹，肩部放松后压。4．呼气，慢慢将哑铃朝天花板方向抬高，直至双臂完全伸展，但并不是僵住不动。5．吸气，慢慢将哑铃放回到初始位置。
            第2天 腿部训练一、器械腿部弯举：1．面朝下俯卧在垫子上，腿部挡板位于膝盖上方几英寸高的位置，膝盖骨与垫子不接触。2．头部放松靠在垫子上，双手握住两侧把手。3．慢慢呼气，双腿尽可能地向上弯曲。2．吸气并慢慢回到初始位置。挡板不能与身体接触。
            二、坐姿提踵：1．在训练机上就座，前脚掌放在抬高的踏板上，脚后跟下压。膝盖与踝关节对齐。2．大腿放在杠杆垫下方，脚后跟抬高上推，松开安全杆。3．收腹，肩部放松后压。4．吸气，脚后跟慢慢下压。5．呼气，前脚掌慢慢上提。
            肱二头肌训练一、锤式弯举：1．双脚分开站立，与臀部同宽，双手各握一只哑铃，掌心向内。2．收腹，肩部放松后压。3．呼气，并且肘关节始终向下，然后慢慢上举直至哑铃与肩部齐平。4．吸气，然后慢慢将哑铃放回到初始位置。
            二、单臂哑铃弯举：1．右手握住一只哑铃，坐在平凳上，同时双膝分开。2．右手肘关节抵住大腿内侧。3．胳膊伸直，但并非僵住不动。4．收腹，肩部放松后压。5．呼气，右臂慢慢弯举，直至肱二头肌完全收缩。6．吸气，恢复初始姿势。7．左手握住哑铃并重复以上动作
            第3天 背部训练一、背阔肌下拉：1．坐在背拉练习机上并调整支撑垫的位置，这样两条大腿恰好撑住支撑垫，双脚平放在地面上。2．双手宽握拉杆，掌心向前。3．双臂伸展，背部略微倾斜，双肩后压。4．呼气，同时将横杆慢慢下拉至胸部，躯干保持稳定不动。5．吸气，使横杆慢慢上升至初始位置，双肩继续保持后压姿势。
            二、俯身杠铃划船：1．正手抓住杠铃杆，双手分开与肩同宽；将杠铃杆上抬，直至双手与膝盖齐平。2．背部挺直，双脚分开与肩同宽；以臀部为界背部向前折弯。3．收腹，肩部放松后压。4．呼气，慢慢将杠铃杆朝肚脐方向抬升，肘部始终紧贴身体两侧并向后伸。5．吸气，恢复初始姿势。
            第4天 肩部训练一、站立杠铃耸肩：1．双脚分开站立，与臀部同宽，正手抓住杠铃杆。2．将杠铃置于大腿前方，同时双臂伸直。3．收腹，肩部放松后压。4．呼气，肩部慢慢上耸，双臂保持挺直。肩部不能发生转动。5．吸气，慢慢将杠铃放回初始位置。
            二、器械肩上推举：1．坐在坐垫上，背部和头部紧贴靠背，双脚平放于地面。2．双手握住把手，位置比肩膀略高（并随之调整座位的高度）。3．收腹，肩部放松后压。4．呼气，慢慢将把手上推，直至双臂伸直，但不能僵住不动。背部和头部始终紧贴靠背，且腰部 挺直。5．吸气，然后慢慢恢复初始姿势。
            肱三头肌训练一、器械手臂伸展：1．坐在座椅上，双脚平放于地面，背部和头部紧贴着靠背。2．双手肘关节放在托板上，与肩同宽，位置比肩关节稍低（随之调整座位）。3．抓住两侧把手，确保肘关节与机器的转轴（轴心）在一条直线上。4．收腹，肩关节放松下压。5．呼气，双臂慢慢打开直至完全伸展，但不要僵住不动。头部和背部紧贴着靠背，腕关节伸直。6．吸气，慢慢恢复初始姿势。
            二、滑轮三头肌下压：1．双脚分开站立，与肩同宽，收腹。2．双手分开握住横杠，两手间的距离为 8～12 英寸（20～30 厘米），肘关节可弯曲超过 90 度角。3．身体靠近滑轮，使两侧肘关节始终向下指，缆绳垂直。4．慢慢呼气并下拉，直至双臂伸直，但不要僵住不动。5．肘关节贴住身体两侧并向下指，腕关节自然放置。
            -END-",T
4,生活方式,我害怕喝茶的人,喝茶,"突然有一天，我发现自己越来越害怕一种人，他们就是喝茶的人。我害怕喝茶的人，和他们在一起，感觉他们都是温文尔雅的贵族，而自己则是粗鄙不堪的市井。我害怕喝茶的人，和他们相比较，感觉他们都是那么的博学多才，而自己则是胸无点墨。当他们高谈阔论，天南地北，古今中外，娓娓道来，而自己则只能默不作声，担心一开口就让人看穿了自己的斤两。就连当年学习成绩倒数第一的小王同学，在爱上喝茶后，现在说起话来都左一个国学，右一个文化了。
            茶一碗我害怕喝茶的人，虽然都已到中年，但是他们像个风度翩翩的美少年，而自己正是那个被人鄙视的油腻大叔；当他们精力充沛的为人生梦想而激情四溢时，自己则感觉疲惫不堪力不从心了。我害怕喝茶的人，七老八十，他们依然提笼架鸟，精神矍铄，时不时还出门旅个游；而自己则只能坐在轮椅上，每天以药当餐。每日一茶我害怕喝茶的人，他们的生活总是从满则各种诗意与情趣，而自己的生活则单调而乏味。他们会种种花、养养草，把自己的庭院打理得像个花园，他们会练练书法，读读佛经，弹弹古琴，让自己的内心充满宁静。而自己的日子，无非就是麻将、游戏、泡吧，终日浑浑噩噩，虚耗生命。
            泡茶我害怕喝茶的人，尤其是爱喝茶的伴侣。闲暇之时，他们围茶而坐，你泡茶，我喝茶，或者我泡茶，你喝茶，和颜悦色的交谈，偶然的相视一笑，仿佛又回到了恋爱的时光；哪像我们，虽近在咫尺，却各自盯着自己手机，同处一室，却形如陌路。
            一杯茶我害怕喝茶的人，当我们还在约朋友喝茶唱k的时候，他们正在一个幽静的茶室之中，度过恬静的下午，于是自己也遭朋友内心的抱怨——还喝酒唱K你也太out了！
            喝茶的人，弘益大学堂高级评茶员课堂掠影……我害怕喝茶的人，尤其是此刻正在喝茶的人。是不是再不喝茶，我们就要被这个时代抛弃了？作者：谭泽荣丨弘益茶道美学撰稿人 本期编辑 找茶 图片来源：弘益茶道美学图库",F
5,生活方式,无脑拯救烂根的龟背竹，竟然卓有成效,龟背竹;烂根,"
            无脑拯救烂根的龟背竹，竟然卓有成效图文/半只熊吉排版/森造坊这颗龟背竹，熊吉已经养了三年。是入植物坑的第一株植物，本以为很好养，结果三年下来，不仅没长叶，现在已经是半死不活的续命状态。上网寻求帮助，没人搭理。于是这三年潜心修炼。终于小有所成，于今年3月再次移盆，最后一次尝试拯救它。
            如上图，去年秋末，将它带到萤火谷的蔬菜大棚，以为大棚恒温的环境能让它起死回生，没想到2月再观察的时候，根部已经被泡断。真是拖了廉价营养土的福，一言难尽。
            如上图，根部已经泡得发软，且开始腐烂。所幸龟背竹就和龟一样活得长久，只要有气根在，就能还魂。接下来就是运用平生所学，重新配土，把烂根的地方一剪刀咔嚓，只保留完整健康的部分。再用多菌灵适当泡泡。
            选择了闲置的水泥盆，龟背竹的外观挺适合这种圆柱形盆的。只是水泥材质没有红陶盆透气，所以配土时，加了更多粗椰壳。泡沫垫底做滤水层，加入发酵好的蚯蚓粪做底肥。直接把龟背竹插进去。再插了一根捡来的树枝，以便后期攀爬。
            上图左是完成换盆的龟背竹，右图是春羽。在家里放到4月初，为了让它生长的更好，带到萤火谷拾荒庭院，露养，汲取天地之精华。五月，曾经一度接近死亡的龟背竹完全重生了。如下图：
            
            新叶甚至比熊吉家里的另外三株龟背竹的叶片还大，露养，通风，遮阴的环境果真对龟背竹很友好。一来就是开背状态。最后，如果大家有和我一样奄奄一息的龟背竹，不要放弃他，给它一个舒适的环境，就能重新站立。■",T
6,生活方式,俄罗斯武术教练，号称套路女沙皇！,武术套路;达利娅·塔拉索娃;俄罗斯;托马斯·巴赫,"
            
            中国国粹武术在俄罗斯很受欢迎，群众基础非常牢固。俄罗斯武术队在世界武术锦标赛等国际大赛中屡屡摘金夺银，更是推动了武术运动在俄罗斯的开展。据不完全统计，2013年俄联邦共有23万武术爱好者，分布于53个地区。俄罗斯的武术明星俄罗斯也有自己家喻户晓的武术明星，其中的佼佼者便是达利娅·塔拉索娃。达利娅·塔拉索娃，作为俄罗斯武术队的队长，她总能不负众望地代表她的国家登上领奖台。达利娅·塔拉索娃曾代表武术界为国际奥委会主席托马斯·巴赫上过一堂武术套路剑术课。
            在2013年圣彼得堡的武术比赛中获得金牌后，达利娅·塔拉索娃应邀访问了克里姆林宫，并受到总统的亲自接见。她的这一经历足以让中国武术同行们艳羡不已。俄罗斯的武术教练，其中不乏套路女沙皇在俄罗斯，一些较大的城市都有专职武术学校。举例来说，莫斯科武术学校校舍是5层楼，从200平方米到400平方米的训练馆有12个，其中有两块质地上乘的地毯是影星成龙在那里拍完电影后送的，据说是专程从中国选购的。此外，学校还有摄影棚、电脑室等现代化设施。
            俄罗斯的武术教练们比起中国教练来讲，更为严厉！视频中的这位女教练，被誉为“套路女沙皇”。冷峻的面容，一丝不苟的备课教学，自己独创的一些教学方法，让一些中国同行也大开眼界。后期：湘西一剪梅，责编：出河蛟",T
7,生活方式,【钓鱼技巧】夏天钓鱼的4大套路,钓鱼技巧;钓鱼;垂钓;鱼类,"1、钓早晚一般选早晨9点半之前、下午4点之后，这两个时段气温和水温不是很高，鱼感觉舒服，四处寻食。夜钓不错，晚上凉风习习，安静，连更大的鱼都敢游到岸边来觅食；大小雨好钓，大雨过后，天气凉爽，水中含氧量上升，大量食物被冲到水中，此时鱼觅食活跃；小雨有微风的天气，也很好钓；而狂风暴雨或者雷雨天气则不宜垂钓；小风小浪特别好钓，无风不好钓；天气有较大变化之前1～2天，比如冷空气滞留和台风过境影响时，一般气温会有较大下降，此时鱼类也异常活跃，摄食凶猛。
            2、钓深水夏季钓鱼，要钓较深的位置。当气温日益上升，达到30度以上时，这时候人都觉得炎热烦闷，何况鱼呢？30度以上时，在浅水边，是很难看到鱼踪的。鱼儿一般会在深水区域纳凉了。我们在进行垂钓的时候，就在选择深水区钓。所谓的深，其实也只是一个相对的深度而已。比如，有两处钓位，一处水深1米5，而另一处水深2米5，那我们则应该选择2米5的深度进行垂钓。相应的，如果一处水深4米，而另一处水深7-8米，那我们应该选择哪处呢？最好还是选择4米左右的水深为好。太深的水，操作起来，也不太方便。总之，夏日进行水深选择的时候，最好选择2-4米5的范围为佳。3、钓阴凉鱼儿除了喜欢去深水区解暑之外，还喜欢在阴凉背阳的地方寻找食物。但是随着日出，温度会慢慢上升，上升最快的自然是太阳能直接照射的地方，那么我们在选择钓点与钓位的时候，最好选侧阴面，也就是太阳出来，被山体或是大树挡住而不会直接照射到的这边。通俗来说，应该是坐东朝西会比较好。或是我们在垂钓的时候，有大树笼罩水面，而阳光很少能照射到地的地方。或是有大量水草浮于水中，阳光不能直接到水下时，我们可以选择在水草中开洞，钓草洞也是不错的选择。
            4、钓流水流水，是指钓活水位置。一般来说，有1-3级微风时，会引起水形成上层与下层循环流动，这时垂钓，会有意想不到的收获。我们在进行垂钓的时候，一般可以选择下风口；我们在垂钓的时候，可以找寻有活水注入的源头附近进行垂钓，或是有增氧机的附近水域进行垂钓。",T
8,生活方式,运动时，小腿突然抽筋了怎么办？,小腿;脚掌;肌肉;脚趾,"很多人都有过这样的体验，在运动的过程中，小腿突然发生肌肉痉挛，也就是俗称的抽筋，以致疼痛难忍，无法再继续运动。如果遇到这种情况，应该怎么办呢？
            一、当小腿突然发生抽筋时，我们可以先用手用力扳起脚趾，将脚板向上翘起，迅速缓解疼痛。二、用手抓紧抽筋这条腿的脚掌，使劲向身体这一侧抻，这样做的目的是拉伸腓肠肌缓解疼痛。三、拉伸1-2分钟后，再慢慢将脚伸直，如此反复几次，抽筋即可消失。
            四、疼痛感过去后，可自上而下有力地按摩小腿肌肉，以防抽筋再次发生。如果手够不到脚掌时，可用脚掌顶住墙壁，用力伸直腿部，也可以起到缓解抽筋疼痛感的作用；又或者请身边的人帮忙，一只手按住抽筋者的膝关节，让其腿部伸直，另一只手慢慢将抽筋一侧腿的脚掌往抽筋者身体方向推。反复几次，直到抽筋消失。如果抽筋时间较长，造成了局部肌肉的酸痛，可以选择热敷，缓解抽筋部位的不适。",T
9,生活方式,野生茶，风格的芬芳,茶树;茶叶;楼高,"
            在南部六龟的深山里，有一种野生茶，近年已成为茶界乐道的茶。野生茶听说已生长百余年的时间，是日据时代，或是清朝种在深山里而被人遗忘的茶树，由于多年未采摘，长到有一层楼高。野生茶的神奇就在于每一棵的茶味都不一样，有独特的风格，例如有一棵有蜂蜜的味道，一棵有牛乳的味道，一棵有莲花香。这不是加味，是自然在茶叶中长成的。因此，采野生茶的人要带许多小袋子，一棵茶树采的装一袋，烘焙时也要每一棵分开，手工精制。这样费时费力做出来的茶，自然是价昂难求，有时有钱也买不到。我在朋友家品尝野生茶，果然，每一棵都很不一样。我最喜欢带有莲花香的那一棵。喝的时候一直在寻思，为什么茶叶会自然长出莲花的香味呢？为什么会每一棵茶的味道各自不同呢？我想到，一棵茶树在天地间成长壮大，在时空中屹立久了，自然会形成一种独特的风格。这风格既不会妨碍它做一棵平常的茶树，但却有与一切茶树完全不同的芬芳。人也是如此，处于乏味久了，自然形成风格。这风格不会使他异于常人，而是在人间散放了不同的芳香。",T
10,生活方式,两种天然养花水，碰上就别错过，换着给花浇水，新芽呼呼冒,鱼缸,"两种天然养花水，碰上就别错过，换着给花浇水，新芽呼呼冒夏季一到，温度就迅速提升，如今大部分地区都已经到了30摄氏度以上，故此刻对花卉进行浇水，就变得十分重要。夏季浇花，就用这两种水，不仅常见，而且还能补充养分，简直就是一举两得！
            雨水夏季到来，雨水可以说是十分常见，但大部分花友可能不知道的是，在夏季时候，雨水对于花卉来说，可是有着许多好处的。雨水是空气之中的水滴，经过凝结起来后，形成了小水滴，之后再下雨进而落到地上。
            可以说雨水是一种偏中性的水，其中不会蕴含有大量的漂白剂等物质，用来给花卉浇花比较安全，并且在夏季打雷时，由于打雷原因，从而在雨水中会混入大量的氮元素，用来给花卉浇花的话，可以补充氮元素，起到促进花卉生长效果。
            雨水的使用也十分简单，只需要从外面收集一些雨水回来即可，将家中的水桶、水缸等，在下雨之时都抬出去迎接雨水，这样当雨季过去之后，依然可以给花卉补充雨水！
            鱼缸水家中有养鱼的花友的，在养鱼一段时间之后，就需要换水一次，而这时候所换出来的鱼缸水，就可以用来给花卉浇花使用。鱼缸水，本质是使用平日的自来水，但由于鱼儿在其中生活一段时间后，其中所蕴含的漂白剂等也已经挥发，不会给花卉带来伤害。并且由于鱼儿的分辨等融入到水中，此时的鱼缸水，就蕴含有大量的营养物质，可以给花卉补充一定养分。
            使用鱼缸水之前，需要先处理一下，由于不知道鱼缸水之中粪便的浓度，如若直接用于给花卉浇花用的话，就容易导致肥害出现，此时就可以先将鱼缸水拿出去给太阳照射一段时间后，再用来浇花，效果会好很多！
            并且在使用鱼缸水时，还有一定的限制，给鱼儿下过药的水，是不可以用来给花卉使用的，以免对它的根系造成一定的伤害，进而引起一些副作用的，下过药的鱼缸水一般直接倒掉即可。
            在夏季时候，如何对花卉进行浇水，就显得十分重要，此时想要将花卉养好，那么就不妨使用一下小花所推荐的这“2种”水，在花卉盆里浇点它，可补充大量养分，促进花卉花苞蹭蹭往上长，很容易就可以养至爆盆状态啦，赶快试试吧！",T
